"sha256","count","bytes","kind","paths"
"44B4532713C1DB289C4DD8E2946F937B28D92F42CDBF3B967CA406455038E618","5","4930","brand","MAGNE.AI/assets/brand/ecosystem/mexc.png | MAGNE.AI/assets/brand/ecosystem/ecosystem/mexc.png | MAGNE.AI/assets/brand/partners/mexc.png | MAGNE.AI/assets/brand/partners/ecosystem/mexc.png | MAGNE.AI/assets/brand/partners/strategic/mexc.png"
"1D05AEB4ACD87A8A66AB44D8B24BAB38ECA50F9A6B1C7EFDDE4347B8AE3AA298","3","3105","brand","MAGNE.AI/assets/brand/ecosystem/mexc_web.png | MAGNE.AI/assets/brand/ecosystem/ecosystem/mexc_web.png | MAGNE.AI/assets/brand/partners/ecosystem/mexc_web.png"
"C5C128F98F8A9E3F70D2B712B27D0E4E91B455A0FA3214598746755CD9B0E7C7","3","5226","brand","MAGNE.AI/assets/brand/ecosystem/mixmax.png | MAGNE.AI/assets/brand/partners/wix-logo.png | MAGNE.AI/assets/brand/partners/ecosystem/mixmax.png"
"D4B767FB1C36EF26369A99E38B2CE5F9386C7EA0EBD7313812631FE3023D5DD3","2","1170","brand","MAGNE.AI/assets/brand/ecosystem/mixmax_web.png | MAGNE.AI/assets/brand/partners/ecosystem/mixmax_web.png"
"4A6ECD9EB7401D163AA4D37E8AE437A808FE29A2395D4AEE91A589A915D5DF8C","6","660737","brand","MAGNE.AI/assets/brand/ecosystem/mobinode.svg | MAGNE.AI/assets/brand/ecosystem/nowchain.svg | MAGNE.AI/assets/brand/ecosystem/ecosystem/mobinode.svg | MAGNE.AI/assets/brand/partners/mobinode.svg | MAGNE.AI/assets/brand/partners/ecosystem/mobinode.svg | MAGNE.AI/assets/brand/partners/ecosystem/nowchain.svg"
"19D2BAD26B501C9475999BDFDF5071C71BAC89971F78D778E5A21534906A9C35","2","265","brand","MAGNE.AI/assets/brand/ecosystem/mobinode_web.png | MAGNE.AI/assets/brand/partners/ecosystem/mobinode_web.png"
"D223583789D02A702D716D44146DC1E0B4A9038C9965B801899BAF23D3110175","4","6657","brand","MAGNE.AI/assets/brand/ecosystem/momofun.png | MAGNE.AI/assets/brand/ecosystem/ecosystem/momofun.png | MAGNE.AI/assets/brand/partners/momofun.png | MAGNE.AI/assets/brand/partners/ecosystem/momofun.png"
"46DB91386F1626C239C7D240C0CBCE652F5875641EF84096F9BF5319F9C9B6DC","2","4620","brand","MAGNE.AI/assets/brand/ecosystem/momofun_web.png | MAGNE.AI/assets/brand/partners/ecosystem/momofun_web.png"
"80F310A88C8DA4E51F69CF13724302A42A4665FC5B7FE0870EF54BEB5D2CE361","4","5980","brand","MAGNE.AI/assets/brand/ecosystem/nodle.svg | MAGNE.AI/assets/brand/ecosystem/ecosystem/nodle.svg | MAGNE.AI/assets/brand/partners/nodle.svg | MAGNE.AI/assets/brand/partners/ecosystem/nodle.svg"
"B73D8AD272A38E4740A8505DC3DFF4D25A958F35982322F2A3F18FFF962E862E","2","266","brand","MAGNE.AI/assets/brand/ecosystem/nodle_web.png | MAGNE.AI/assets/brand/partners/ecosystem/nodle_web.png"
"24BCAA8A82560CA666942872DB9F8D653C4B93200B6EC9567E73C71293C9E8AF","2","265","brand","MAGNE.AI/assets/brand/ecosystem/nowchain_web.png | MAGNE.AI/assets/brand/partners/ecosystem/nowchain_web.png"
"4CA86C828D189173423B5C655CA114CE9B4A93444B892A8E41BBFADE8A03B49C","4","2761","brand","MAGNE.AI/assets/brand/ecosystem/planethares.png | MAGNE.AI/assets/brand/ecosystem/ecosystem/planethares.png | MAGNE.AI/assets/brand/partners/planethares.png | MAGNE.AI/assets/brand/partners/ecosystem/planethares.png"
"A6E7A500D872BC14586AB5A06EDDCE81A48C307A7911336A8FE9A6AF4485A29E","2","2761","brand","MAGNE.AI/assets/brand/ecosystem/planethares_web.png | MAGNE.AI/assets/brand/partners/ecosystem/planethares_web.png"
"EE8A903A9E74230AB307129A937CF5A34984D7326EF9007BDB6F4DD5890DCE78","4","2096","brand","MAGNE.AI/assets/brand/ecosystem/playsout_web.png | MAGNE.AI/assets/brand/ecosystem/ecosystem/playsout_web.png | MAGNE.AI/assets/brand/partners/playsout_web.png | MAGNE.AI/assets/brand/partners/ecosystem/playsout_web.png"
